telugu,english
నేను,I
నువ్వు,You
అతను,He
ఆమె,She
మనం,We
వాళ్లు,They
ఇది,This
అది,That
ఏమి,What
ఎవరు,Who
ఎక్కడ,Where
ఎప్పుడు,When
ఎందుకు,Why
ఎలా,How
అవును,Yes
కాదు,No
దయచేసి,Please
ధన్యవాదాలు,Thank you
క్షమించండి,Sorry
నమస్తే,Hello
వీడ్కోలు,Goodbye
నీరు,Water
ఆహారం,Food
ఇల్లు,House
పని,Work
పాఠశాల,School
పుస్తకం,Book
పెన్,Pen
డబ్బు,Money
సమయం,Time
రోజు,Day
రాత్రి,Night
ఉదయం,Morning
సాయంత్రం,Evening
స్నేహితుడు,Friend
కుటుంబం,Family
అమ్మ,Mother
నాన్న,Father
అన్న,Brother
అక్క,Sister
పిల్ల,Child
ప్రేమ,Love
సంతోషం,Happiness
బాధ,Sadness
పెద్ద,Big
చిన్న,Small
కొత్త,New
పాత,Old
మంచి,Good
చెడు,Bad
వేగంగా,Fast
నెమ్మదిగా,Slowly
వెళ్ళు,Go
రా,Come
తిను,Eat
తాగు,Drink
చూడు,See
విను,Hear
మాట్లాడు,Speak
రాయు,Write
చదువు,Read/Study
నిద్ర,Sleep
లేచి,Wake up
కొను,Buy
అమ్ము,Sell
తెరువు,Open
మూసివేయి,Close
ప్రారంభం,Start
ముగింపు,End
వేచి ఉండు,Wait
సహాయం,Help
ప్రశ్న,Question
సమాధానం,Answer
పేరు,Name
చిరునామా,Address
ఫోన్,Phone
నగరం,City
గ్రామం,Village
రోడ్డు,Road
వాహనం,Vehicle
బస్సు,Bus
రైలు,Train
విమానం,Airplane
దుకాణం,Shop
ఆసుపత్రి,Hospital
డాక్టర్,Doctor
ఔషధం,Medicine
డబ్బా,Box
తలుపు,Door
కిటికీ,Window
కుర్చీ,Chair
మేజా,Table
బట్టలు,Clothes
చెప్పులు,Shoes
వర్షం,Rain
ఎండ,Sun
చంద్రుడు,Moon
భూమి,Earth
ఆకాశం,Sky
చెట్టు,Tree
పువ్వు,Flower
పండు,Fruit
